year,dep_code,population,pet,pea,employed,unemployed,inactive
2000,94,25125.9,16129.1,10301.1,7397.9,2903.2,5865.0
2000,95,61730.5,37691.7,24454.5,19507.7,4946.9,13268.1
2000,97,22189.2,13955.8,8870.1,6445.1,2424.9,5116.2
2000,99,68675.9,42555.5,27382.3,20899.8,6482.5,15237.2
2001,5,5240804.1,3526660.6,2346964.9,1967432.4,379532.5,1180563.1
2001,8,1976544.9,1307020.2,823069.8,703433.2,119636.6,485597.6
2001,11,6592319.9,4454445.3,2881774.8,2476749.8,405025.0,1574504.3
2001,13,1723916.7,1113973.4,703740.6,616913.9,86826.7,411238.2
2001,15,1099999.8,751482.3,523433.3,470250.9,53182.3,228855.2
2001,17,964162.0,683435.9,413876.4,358143.6,55732.8,268804.7
2001,18,371850.1,229049.7,142553.4,120593.1,21960.3,86064.2
2001,19,1242751.2,803537.6,501732.3,429184.5,72547.8,302391.1
2001,20,853369.5,544677.3,357371.6,293570.0,63801.6,187687.5
2001,23,1493897.4,936662.3,666280.3,569182.1,97098.1,271253.8
2001,25,1522291.9,1089162.6,832720.6,646556.5,186164.0,257342.9
2001,27,383770.3,223160.9,156827.5,134978.0,21849.5,67092.3
2001,41,907519.4,589526.2,410713.6,360115.7,50597.9,179171.6
2001,44,562403.7,288204.5,208898.1,174701.9,34196.1,81582.0
2001,47,1024894.9,640593.8,413003.2,354828.2,58175.0,228679.8
2001,50,764154.9,517541.2,379283.3,317011.3,62272.1,138168.4
2001,52,1493663.6,940358.0,634939.3,554662.8,80276.5,308346.4
2001,54,1192745.5,831380.5,583559.0,487134.7,96424.3,247037.9
2001,63,495683.9,339900.0,226333.6,184230.9,42102.7,113264.4
2001,66,864546.7,586202.9,400375.7,341921.2,58454.5,186037.4
2001,68,1802453.9,1232188.7,895273.3,779545.0,115728.4,337387.0
2001,70,740234.6,470541.0,299828.3,255085.7,44742.6,171017.9
2001,73,1282777.7,844297.7,640950.5,548927.0,92023.5,203377.9
2001,76,4144841.9,2867503.1,2050700.8,1735067.3,315633.4,813678.4
2001,81,189049.8,117922.1,81872.0,69666.0,12206.0,36336.1
2001,85,304925.6,174869.7,125935.4,104229.5,21706.0,49459.8
2001,86,251354.1,153321.8,99794.1,83643.1,16150.9,53786.7
2001,88,61627.8,36826.5,23848.4,20830.2,3018.2,12972.0
2001,91,55898.8,34040.6,21824.6,18191.1,3633.5,12249.1
2001,94,26545.2,17048.9,10887.7,8667.8,2219.9,6200.0
2001,95,63209.5,38706.1,25072.3,21069.7,4002.7,13671.6
2001,97,23325.9,14744.8,9396.7,7513.2,1883.6,5381.8
2001,99,71139.9,44213.6,28428.6,23329.2,5099.4,15849.5
2002,5,5306087.5,3598107.4,2391386.9,1989036.5,402350.4,1210282.4
2002,8,2009354.3,1337206.9,842318.4,715500.4,126817.9,495767.0
2002,11,6644473.7,4514151.5,2916112.7,2486949.0,429163.7,1600143.8
2002,13,1744635.2,1133105.7,715212.9,623163.2,92049.7,418291.1
2002,15,1107525.0,758652.6,524172.7,467819.8,56352.9,234489.7
2002,17,966777.7,687909.4,416256.1,357176.2,59079.9,272142.1
2002,18,373882.7,231052.7,144064.6,120773.3,23291.2,87230.4
2002,19,1255402.5,817769.5,511633.4,434748.5,76884.9,306501.5
2002,20,873784.7,558927.1,365656.8,298027.2,67629.6,194079.1
2002,23,1510323.1,954131.4,676098.5,573185.6,102912.9,278521.5
2002,25,1599109.1,1147926.1,874827.7,677241.4,197586.3,275881.7
2002,27,392328.7,228718.6,157916.7,134788.0,23128.7,71037.7
2002,41,918424.7,597718.4,413136.5,359499.1,53637.3,184940.0
2002,44,581119.2,305173.8,220045.0,183829.7,36215.2,85104.2
2002,47,1043556.7,655964.6,421652.5,359994.4,61658.1,234757.8
2002,50,779224.1,528285.4,385807.2,319768.7,66038.5,143052.6
2002,52,1501828.8,957979.9,647057.0,562094.8,84962.2,310259.4
2002,54,1211938.2,843780.3,590408.0,488168.0,102240.0,254403.0
2002,63,498307.3,344518.9,229001.8,184388.9,44612.9,115980.9
2002,66,868960.0,593640.4,403457.7,341526.4,61931.2,190568.9
2002,68,1824636.7,1251948.7,903968.1,781236.5,122731.6,348716.9
2002,70,750145.0,479782.2,305533.0,258106.4,47426.6,174616.6
2002,73,1286145.1,851029.8,640660.3,543171.3,97489.0,210894.2
2002,76,4164480.9,2887971.8,2058610.5,1724085.7,334524.8,831596.0
2002,81,193710.5,120536.2,82702.5,69778.0,12924.4,37941.9
2002,85,311470.9,181077.8,129698.2,106697.7,23000.5,51532.8
2002,86,256710.6,156681.4,101786.5,84680.4,17106.2,54995.7
2002,88,61644.1,36889.0,23827.9,20632.8,3195.0,13061.6
2002,91,57069.7,34687.1,22235.0,18386.7,3848.3,12476.4
2002,94,27749.8,17677.4,11305.9,8953.7,2352.2,6395.5
2002,95,64464.7,39379.6,25477.6,21237.9,4239.7,13926.4
2002,97,24290.5,15266.9,9748.8,7752.9,1996.0,5537.2
2002,99,73231.1,45337.6,29160.3,23757.9,5402.4,16219.8
2003,5,5370030.7,3670776.3,2464023.3,2093796.4,370226.9,1209276.0
2003,8,2041490.1,1370084.3,877400.8,760428.0,116972.8,494532.0
2003,11,6695557.0,4579672.9,2989619.4,2589556.0,400063.4,1593196.9
2003,13,1764928.4,1154907.1,739739.6,655104.7,84634.9,416619.8
2003,15,1114895.7,766151.0,532284.5,479785.2,52499.3,234244.2
2003,17,969339.7,692839.3,422264.0,367808.3,54455.7,270540.8
2003,18,375873.6,233149.1,146403.1,125222.2,21180.8,86755.3
2003,19,1267794.0,834165.2,530406.0,459068.6,71337.4,304841.7
2003,20,893780.7,572596.4,378190.7,315784.2,62406.5,194587.9
2003,23,1526411.6,972347.3,694863.8,599618.4,95245.4,278471.3
2003,25,1674349.4,1206296.7,928490.5,752262.7,176227.8,280495.1
2003,27,400711.4,233277.8,161227.7,139099.3,22128.4,71885.3
2003,41,929106.2,605399.6,420221.3,370806.9,49414.4,185292.7
2003,44,599450.6,323953.1,239762.4,205534.8,34227.7,85629.0
2003,47,1061835.5,672113.5,438158.8,381071.7,57087.1,234693.2
2003,50,793984.0,538735.0,395616.3,335398.8,60217.5,143499.3
2003,52,1509826.4,980692.1,675529.2,593928.7,81600.5,307656.8
2003,54,1230736.9,855004.2,600293.3,506675.8,93617.6,254655.8
2003,63,500876.8,348558.6,232545.0,190986.8,41558.3,115832.0
2003,66,873282.8,600778.9,410489.9,352586.8,57903.2,190349.3
2003,68,1846364.0,1271433.3,922739.5,810918.9,111820.6,349566.9
2003,70,759852.0,489594.0,315845.1,272064.1,43781.0,174189.3
2003,73,1289443.4,855636.4,643444.9,552110.3,91334.6,211684.3
2003,76,4183716.7,2905329.1,2074655.2,1764773.8,309881.4,829875.8
2003,81,198275.5,122851.8,84636.4,72367.6,12268.8,38186.5
2003,85,317881.9,187437.4,135936.9,114526.4,21410.6,51823.7
2003,86,261957.1,160201.0,105457.2,89336.9,16120.3,54893.2
2003,88,61660.0,37000.6,24048.7,21006.9,3041.9,12955.4
2003,91,58216.6,35372.5,22966.1,19347.5,3618.6,12433.8
2003,94,28929.6,18322.4,11942.0,9749.6,2192.4,6406.4
2003,95,65694.1,40095.0,26240.5,22248.8,3991.8,13879.6
2003,97,25235.4,15805.8,10288.2,8422.6,1865.6,5540.9
2003,99,75279.3,46504.6,30357.6,25296.4,5061.2,16194.3
2004,5,5432139.8,3742036.3,2470311.1,2115785.9,354525.2,1275649.0
2004,8,2072704.3,1399164.4,881182.6,768280.7,112901.9,519065.2
2004,11,6745175.1,4632652.3,2987038.1,2592480.5,394557.6,1649041.3
2004,13,1784639.5,1177028.4,742734.6,659291.1,83443.5,434173.5
2004,15,1122055.0,779806.2,530083.6,478023.4,52060.2,249661.4
2004,17,971828.2,698723.5,421397.0,368134.1,53262.9,277495.2
2004,18,377807.4,234167.0,145641.1,125558.5,20082.6,88711.2
2004,19,1279830.1,846426.4,534092.3,465291.3,68801.0,312741.4
2004,20,913203.3,591122.1,380546.9,320828.9,59718.0,211117.9
2004,23,1542038.6,989155.4,688455.3,596039.0,92416.3,301465.0
2004,25,1747431.6,1262336.4,931397.9,774668.1,156729.8,332982.4
2004,27,408853.6,241498.7,159281.4,136928.0,22353.4,83011.6
2004,41,939481.4,616401.6,417484.4,369608.3,47876.1,199607.6
2004,44,617256.1,346079.7,243071.0,208679.0,34392.0,102365.3
2004,47,1079590.0,693203.1,443065.5,386510.1,56555.4,250184.3
2004,50,808320.5,546850.9,390069.6,333634.7,56434.9,157650.8
2004,52,1517594.6,995519.6,677963.7,593868.9,84094.8,316792.8
2004,54,1248996.4,867803.2,590799.3,502942.8,87856.5,277953.4
2004,63,503372.6,353853.4,231198.7,191086.3,40112.4,123079.3
2004,66,877481.5,608971.5,408491.4,351679.7,56811.7,201162.5
2004,68,1867468.2,1290978.3,912534.0,806986.6,105547.4,379858.6
2004,70,769280.6,498295.7,314520.6,272260.6,42260.1,184279.1
2004,73,1292647.1,869485.5,634433.6,544605.3,89828.3,235437.7
2004,76,4202400.8,2929737.3,2058809.9,1759338.9,299471.1,872422.7
